NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Locations
NCT07163299,Intra-arterial Selective Hypothermic Magnesium Sulfate Infusion in Combination With Endovascular Thrombectomy in Acute Ischemic Stroke,https://clinicaltrials.gov/study/NCT07163299,NOT_YET_RECRUITING,Acute Ischemic Stroke,PROCEDURE: Endovascular thrombectomy combination with selective intra-arterial hypothermic magnesium sulfate infusion (350 ml).|PROCEDURE: Endovascular thrombectomy combination with selective intra-arterial hypothermic magnesium sulfate infusion (500 ml).|PROCEDURE: Endovascular thrombectomy combination with selective intra-arterial hypothermic magnesium sulfate infusion (650 ml).,Capital Medical University,The Affiliated Hospital of Xuzhou Medical University,INTERVENTIONAL,
NCT07163286,Malnutrition and Sarcopenia Screening in Chemotherapy Patients,https://clinicaltrials.gov/study/NCT07163286,ACTIVE_NOT_RECRUITING,Nutrition Aspect of Cancer|Sarcopenia|Chemotherapeutic Agent Toxicity,,Çanakkale Onsekiz Mart University,,OBSERVATIONAL,"Çanakkale Onsekiz Mart University, Çanakkale, 17020, Turkey (Türkiye)"
NCT07163273,Monthly Alternating NALIRIFOX and GnP in the First-Line Setting,https://clinicaltrials.gov/study/NCT07163273,RECRUITING,Pancreatic Ductal Adenocarcinoma,DRUG: NALIRIFOX|DRUG: Gemcitabine plus nab-Paclitaxel (GnP),Northwell Health,,INTERVENTIONAL,"Zuckerberg Cancer Center, New Hyde Park, New York, 11042, United States"
NCT07163260,Defeat Rare Disease in Asia and Pacific (APAC) DRDA - Haemophilia,https://clinicaltrials.gov/study/NCT07163260,ENROLLING_BY_INVITATION,Haemophilia,OTHER: No treatment given,Novo Nordisk A/S,,OBSERVATIONAL,"Novo Nordisk Investigational Site, Bangalore, Karnataka, 560 066, India|Novo Nordisk Investigational Site, Kuala Lumpur, 50470, Malaysia|Novo Nordisk Investigational Site, Seoul, South Korea|Novo Nordisk Investigational Site, Bangkok, 10500, Thailand"
NCT07163247,Effectiveness of Pet-Robotic Intervention in Intensive Care Unit Patients,https://clinicaltrials.gov/study/NCT07163247,RECRUITING,Spontaneous Breathing Trial in ICU|Spontaneous Breathing Trial,BEHAVIORAL: Robotic pet (PARO) companionship,National Taiwan University Hospital,,INTERVENTIONAL,"National Taiwan University Hospital, Taipei, Taiwan"
NCT07163234,Safety of the IPERF Femoral Arterial Cannula in Patients Undergoing Planned Cardiac Surgery With Extracorporeal Circulation Via Femoral Approach,https://clinicaltrials.gov/study/NCT07163234,NOT_YET_RECRUITING,Cardiac Surgery|Ischemia Limb,DEVICE: Cardiac surgery,IPERF SAS,European Cardiovascular Research Center,INTERVENTIONAL,"Hôpital privé Jacques Cartier - Ramsay Santé, Massy, 91300, France"
NCT07163221,At-home Ultrasound Localized Therapy for Rheumatoid Arthritis Study [At-home ULTRA Study],https://clinicaltrials.gov/study/NCT07163221,NOT_YET_RECRUITING,Rheumatoid Arthritis (RA),DEVICE: Non-invasive ultrasound stimulation of the spleen - Treatment Setting 1|DEVICE: Non-invasive ultrasound stimulation of the spleen - Treatment Setting 2|DEVICE: Sham ultrasound stimulation (control)|DRUG: Conventional Synthetic DMARD,SecondWave Systems Inc.,,INTERVENTIONAL,"University of Minnesota Medical School, Division of Rheumatic and Autoimmune Diseases, Minneapolis, Minnesota, 55455, United States"
NCT07163208,Therapeutic Efficacy of Different Wavelengths of Low-Level Laser Therapy in the Treatment of Cervicogenic Headache,https://clinicaltrials.gov/study/NCT07163208,RECRUITING,Cervicogenic Headache,DEVICE: Low-Level Laser Therapy (LLLT)|OTHER: Routine Physical Therapy (RPT),University of Lahore,,INTERVENTIONAL,"Department of Physiotherapy, Sir Ganga Ram Hospital, Lahore, Punjab Province, 54000, Pakistan"
NCT07163195,Smart Bandage With App-Based Telemonitoring Versus Standard Wound Care for Venous Leg Ulcer: A Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT07163195,NOT_YET_RECRUITING,Venous Leg Ulcer (VLU)|Chronic Wound,DEVICE: Smart Bandage with Telemonitoring|DEVICE: Conventional Bandage,Asmat Burhan,,INTERVENTIONAL,
NCT07163182,"Evaluation of Safety, Side Effects and How the Drug CHF6467 Administered Via Intranasal Route is Absorbed, Modified and Removed in Healthy Subjects",https://clinicaltrials.gov/study/NCT07163182,NOT_YET_RECRUITING,Healthy Volunteers,BIOLOGICAL: CHF6467 Part 1 (SAD)|BIOLOGICAL: CHF6467 Part 2 (MAD)|DRUG: Placebo,Chiesi Farmaceutici S.p.A.,,INTERVENTIONAL,"Bulgaria MC Comac Medical Ltd., Sofia, 1618, Bulgaria"
NCT07163169,Predicting Chemo Toxicity Using Geriatric Forms,https://clinicaltrials.gov/study/NCT07163169,ACTIVE_NOT_RECRUITING,Oncology|Geriatric Oncology|Physiology,,Çanakkale Onsekiz Mart University,,OBSERVATIONAL,"Çanakkale Onsekiz Mart Univercity, Çanakkale, 17020, Turkey (Türkiye)"
NCT07163156,"Prolactin, Inflammation, and Parkinson's Severity",https://clinicaltrials.gov/study/NCT07163156,ENROLLING_BY_INVITATION,Idiopathic Parkinson Disease|Prolactin|Prolactin Levels|Inflammation,,Çanakkale Onsekiz Mart University,,OBSERVATIONAL,"Çanakkale Onsekiz Mart University, Çanakkale, Merkez, 17020, Turkey (Türkiye)"
NCT07163143,"Optimal Treatment Duration for Radiographically Apparent, Bacteriologically Unconfirmed TB, Identified Through Active Case Finding (RADIO-TB Trial)",https://clinicaltrials.gov/study/NCT07163143,NOT_YET_RECRUITING,Tuberculosis (TB),DRUG: Isoniazid (H)|DRUG: Rifampicin (R)|DRUG: Pyrazinamide (Z)|DRUG: Ethambutol (E),"University College, London","National University of Medical Sciences, Pakistan|Aurum Institute|Biomedical Research and Training Institute, Zimbabwe|Foundation for Innovative New Diagnostics, Switzerland|KTH Royal Institute of Technology|London School of Hygiene and Tropical Medicine|Wits Health Consortium (Pty) Ltd",INTERVENTIONAL,"National University of Medical Sciences, Islamabad, Pakistan|Clinical HIV Research Unit, Wits Health Consortium, Johannesburg, South Africa|The Aurum Institute, Johannesburg, South Africa|Bulawayo City Health, Bulawayo, Zimbabwe"
NCT07163130,Tragus Stimulation for POTS Treatment,https://clinicaltrials.gov/study/NCT07163130,NOT_YET_RECRUITING,Postural Orthostatic Tachycardia Syndrome (POTS),DEVICE: Transcutaneous auricular vagus nerve stimulation,Aristotle University Of Thessaloniki,,INTERVENTIONAL,
NCT07163117,Lumber Stabilization Exercise Versus Back Endurance Exercise Among Female University Students,https://clinicaltrials.gov/study/NCT07163117,NOT_YET_RECRUITING,Chronic Low Back Pain (CLBP),OTHER: lumbar stabilization exercises|OTHER: endurance training|OTHER: Home based program,Cairo University,,INTERVENTIONAL,
NCT07163104,"The Effects of Nonpharmacological Methods Used in Subcutaneous Application on Pain, Anxiety, and Fear Levels in Children",https://clinicaltrials.gov/study/NCT07163104,ACTIVE_NOT_RECRUITING,Pediatric Oncology,BEHAVIORAL: Kaleidoscope|BEHAVIORAL: Buzzy|BEHAVIORAL: Cognitive behavioral intervention,Zubeyde Ezgi Ercelik,,INTERVENTIONAL,"Zonguldak Bulent Ecevit University Training and Research Hospital, Zonguldak, Turkey (Türkiye)"
NCT07163091,Bracing After Ankle Fracture,https://clinicaltrials.gov/study/NCT07163091,NOT_YET_RECRUITING,Ankle Fracture|Rehabilitation|Recovery,OTHER: ankel stirrup|OTHER: Foot-ankel brace (walker),Odense University Hospital,"Aalborg University Hospital|Randers Regional Hospital|Aarhus University Hospital|Viborg Regional Hospital|Hospital of Southern Jutland, Aabenraa, Denmark|Slagelse Hospital|Bispebjerg Hospital|Hvidovre University Hospital|Herlev Hospital|National Hospital of the Faroe Islands|Hospital of South West Jutland, Esbjerg, Denmark|Køge Hospital, Denmark|Sygehus Lillebaelt",INTERVENTIONAL,"Orthopedic Department, Hospital of Southern Jutland, Aabenraa, 6200, Denmark|Orthopedic Department, Aalborg Universitets Hospital, Aalborg, 9000, Denmark|Orthopedic Department, Aarhus University Hospital, Aarhus, 8200, Denmark|Orthopedic Department, Bispebjerg Hospital, Copenhagen, 2200, Denmark|Orthopedic Department, Hospital of South West Jutland, Esbjerg, 6700, Denmark|Orthopedic Department, Herlev Hospital, Herlev, 2730, Denmark|Orthopedic Department, North Zealand Hospital, Hillerød, 3400, Denmark|Orthopedic Department, Hvidovre Hospital, Hvidovre, 2650, Denmark|Orthopedic Department, Hospital Lillebaelt - Kolding, Kolding, 6000, Denmark|Orthopedic Department, Zealand University Hospital - Køge, Køge, 4600, Denmark|Orthopedic Department, Odense University Hospital, Odense, 5000, Denmark|Orthopedic Department, Randers Hospital, Randers, 5930, Denmark|Orthopedic Department, Slagelse Hospital, Slagelse, 4200, Denmark|Orthopedic Department, Hospital Lillebaelt - Vejle, Vejle, 7100, Denmark|Orthopedic Department, Viborg Hospital, Viborg, 8800, Denmark|Surgical Centre, National Hospital of the Faroe Islands, Tórshavn, Faroe Islands"
NCT07163078,Nutrition Supplement for Cystic Fibrosis,https://clinicaltrials.gov/study/NCT07163078,NOT_YET_RECRUITING,Cystic Fibrosis (CF),DIETARY_SUPPLEMENT: Common form supplementation|DIETARY_SUPPLEMENT: Uncommon nutrient supplementation,Ohio State University,,INTERVENTIONAL,
NCT07163065,Evaluation of Systemic Inflammatory Index and Biomarkers in Relation to Inferior Alveolar Nerve Block Success and Postoperative Pain,https://clinicaltrials.gov/study/NCT07163065,ACTIVE_NOT_RECRUITING,Postoperative Pain|Inferior Alveolar Nerve Block Failure|Inflammation Biomarkers|Dental Anesthesia Complications,PROCEDURE: Inferior Alveolar Nerve Block Anesthesia,KEZBAN MELTEM ÇOLAK,,OBSERVATIONAL,"Atatürk University Faculty of Dentistry, Department of Endodontics, Erzurum, Erzurum, 25240, Turkey (Türkiye)"
NCT07163052,Hemodynamic Evaluation of Left Atrial Pressure in Relationship to Pulmonary Capillary Wedge Pressure in Cardio Thoracic Patients,https://clinicaltrials.gov/study/NCT07163052,NOT_YET_RECRUITING,Cardiogenic Shock|Pulmonary Edema Cardiac Cause,,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),,OBSERVATIONAL,
NCT07163039,The Effect of Dual Task Training on Cognitive in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT07163039,NOT_YET_RECRUITING,Alzheimer Disease,OTHER: Dual-Task Motor-Cognitive Training|OTHER: Conventional Exercise Training,Fenerbahce University,,INTERVENTIONAL,
NCT07163026,Comparison of Two Plane Blocks Used in Open Ventral Hernia Repair Operations,https://clinicaltrials.gov/study/NCT07163026,NOT_YET_RECRUITING,Ventral Hernia|Postoperative Pain|Postoperative Nausea|Postoperative Vomiting,DRUG: Bupivacaine HCl,Ankara Ataturk Sanatorium Training and Research Hospital,,INTERVENTIONAL,"Ankara Ataturk Sanatorium Research and Training Hospital, Ankara, 06290, Turkey (Türkiye)"
NCT07163013,Digital Cognitive Behavioral Therapy for Chinese Adolescents With Depressive Symptoms（CADS-D ),https://clinicaltrials.gov/study/NCT07163013,ACTIVE_NOT_RECRUITING,Depressive Symptom,OTHER: Digital cognitive behavioral therapy(DCBT)|OTHER: Regular mental health curriculum,First Affiliated Hospital of Chongqing Medical University,,INTERVENTIONAL,"The First Affiliated Hospital of Chongqing Medical University, Chongqing, 400016, China"
NCT07163000,Earlier Diagnosis of Peripheral Neuropathy Using A Simple sCreening Tool (ACT),https://clinicaltrials.gov/study/NCT07163000,ACTIVE_NOT_RECRUITING,Peripheral Neuropathy|Painful Neuropathy|Diabetes (DM),,Weill Cornell Medical College in Qatar,Procter and Gamble|Hamad Medical Corporation,OBSERVATIONAL,"Weill Cornell Medicine-Qatar, Doha, 24144, Qatar"
NCT07162987,Prehabilitation to Patients With Prostate Cancer,https://clinicaltrials.gov/study/NCT07162987,RECRUITING,Prostate Cancer (Diagnosis),BEHAVIORAL: Prehabilitation,Odense University Hospital,"REHPA, The Danish Knowledge Centre for Rehabilitation and Palliative Care|Vejle Hospital|Esbjerg Municipality|Esbjerg Hospital - University Hospital of Southern Denmark",INTERVENTIONAL,"Esbjerg Hospital, Esbjerg, Region Syddanmark, 6700, Denmark|REHPA, the Danish Knowledge Centre for Rehabilitation and Palliative Care, Nyborg, Region Syddanmark, 5800, Denmark|Vejle Hospital, Vejle, Region Syddanmark, 7100, Denmark"
NCT07162974,Litholytic Therapy for Coral Urate Nephrolithiasis,https://clinicaltrials.gov/study/NCT07162974,COMPLETED,Urolithiasis,"DRUG: anhydrous citric acid - 1197.0 mg, potassium bicarbonate - 967.5 mg, sodium citrate anhydrous - 835.5 mg",Moscow State University of Medicine and Dentistry,,INTERVENTIONAL,"Moscow state university of medicine and dentistry named after A.I. Evdokimov, Moscow, 127473, Russia"
NCT07162961,Nintedanib for Improving Reproductive Outcomes in Adenomyosis,https://clinicaltrials.gov/study/NCT07162961,NOT_YET_RECRUITING,Adenomyosis of Uterus,DRUG: Nintedanib|DRUG: Progesterone,Sun Yat-sen University,,INTERVENTIONAL,
NCT07162948,"ICU-Recover Box 2.0, Smart Technology for Home Monitoring of ICU Patients",https://clinicaltrials.gov/study/NCT07162948,RECRUITING,ICU Acquired Weakness,DEVICE: The ICU-Recover Box: using smart technology for monitoring health status after ICU admission Pilot 2.0,Leiden University Medical Center,,INTERVENTIONAL,"Leiden University Medical Center, Leiden, South Holland, 2333 ZA, Netherlands"
NCT07162935,Cigar Legislation and Regulation in Tobacco for the Young (Project CLARITY),https://clinicaltrials.gov/study/NCT07162935,NOT_YET_RECRUITING,Cigar Smoking|Tobacco Use,OTHER: Cigarillo brand 1|OTHER: Cigarillo brand 2|OTHER: Cigarillo brand 3,University of Oklahoma,National Institute on Drug Abuse (NIDA)|West Virginia University,INTERVENTIONAL,"West Virginia University, Morgantown, West Virginia, 26506, United States"
NCT07162922,Optic Nerve Sheath Diameter Changes in Laparoscopic Cholecystectomy,https://clinicaltrials.gov/study/NCT07162922,NOT_YET_RECRUITING,Increased Intracranial Pressure Disorders|Perioperative Complication|Pneumoperitoneum,OTHER: 8 mmHg pressure group|OTHER: 14 mmHg pressure group,Engin Çetin,,INTERVENTIONAL,"University of Health Sciences Kocaeli City Hospital, Kocaeli, Izmit, 41100, Turkey (Türkiye)"
NCT07162909,The Time Before the Crime - Risk Patterns in Offenders Undergoing a Forensic Psychiatric Evaluation,https://clinicaltrials.gov/study/NCT07162909,NOT_YET_RECRUITING,Crime,,Karolinska Institutet,,OBSERVATIONAL,
NCT07162896,Crisaborole 2% Versus Tacrolimus 0.1% in Children With Mild to Moderate Atopic Dermatitis,https://clinicaltrials.gov/study/NCT07162896,NOT_YET_RECRUITING,Atopic Dermatitis|Atopic Dermatitis (AD),DRUG: Crisaborole 2%|DRUG: Tacrolimus 0.1%,Shalamar Institute of Health Sciences,,INTERVENTIONAL,"Shalamar Hospital Lahore, Lahore, Punjab Province, 54000, Pakistan"
NCT07162883,Pharmacokinetic Study of QL2107 Versus Keytruda® for Adjuvant Therapy of Non-Small Cell Lung Cancer (NSCLC),https://clinicaltrials.gov/study/NCT07162883,NOT_YET_RECRUITING,"Carcinoma, Non-Small-Cell Lung",DRUG: QL2107|DRUG: Keytruda®,"Qilu Pharmaceutical Co., Ltd.",,INTERVENTIONAL,
NCT07162870,Idiopathic Pulmonary Fibrosis Cohort of TCM,https://clinicaltrials.gov/study/NCT07162870,NOT_YET_RECRUITING,Idiopathic Pulmonary Fibrosis (IPF),DRUG: Traditional Chinese medicine (TCM)|DRUG: Non-traditional Chinese medicine (non-TCM),Henan University of Traditional Chinese Medicine,"The First Affiliated Hospital of Henan University of Traditional Chinese Medicine|China-Japan Friendship Hospital|The First Affiliated Hospital of Zhengzhou University|Shanghai Pulmonary Hospital, Shanghai, China",OBSERVATIONAL,"The First Affiliated Hospital of Henan University of Chinese Medicine, Zhengzhou, Henan, 450000, China"
NCT07162857,Guiding Fluid Resuscitation in Septic Shock: Ultrasound vs. Noninvasive Cardiac Output Monitoring,https://clinicaltrials.gov/study/NCT07162857,RECRUITING,Septic Shock,DEVICE: non-invasive cardiac output monitoring|DEVICE: Ultrasonic technology,Mai Xiaowei,Guangzhou Panyu Central Hospital,INTERVENTIONAL,"Panyu Central Hospital Affiliated to Guangzhou Medical University, Guangzhou, Guangdong, 510000, China"
NCT07162844,Foam and Liquid Sclerotherapy With or Without Herbal Gel for Small Vein Treatment,https://clinicaltrials.gov/study/NCT07162844,ACTIVE_NOT_RECRUITING,Telangectasia|Reticular Veins,PROCEDURE: Liquid sclerotherapy in telangectasia and reticular veins without application of herbal gel post procedure|PROCEDURE: Liquid sclerotherapy in telangectasia and reticular veins wit application of herbal gel post procedure|PROCEDURE: foam sclerotherapy in telangectasia and reticular veins without application of herbal gel post procedure|PROCEDURE: foam sclerotherapy in telangectasia and reticular veins with application of herbal gel post procedure,Kafrelsheikh University,"Faculty of Medicine,Kafrelsheikh University, Egypt",INTERVENTIONAL,"Faculty of medicine kfs university, Kafr ash Shaykh, Kafr el-Sheikh Governorate, 33511, Egypt"
NCT07162831,Metacognitive Intervention in Children and Adolescents With ADHD - MiA Study,https://clinicaltrials.gov/study/NCT07162831,RECRUITING,ADHD,BEHAVIORAL: Mio-Training,"Insel Gruppe AG, University Hospital Bern",,INTERVENTIONAL,"Insespital, University Hospital Bern, Bern, 3010, Switzerland"
NCT07162818,Effects of 0.1% Nepafenac on Vitreous Inflammatory Biomarkers in Rhegmatogenous Retinal Detachment and Proliferative Vitreoretinopathy,https://clinicaltrials.gov/study/NCT07162818,COMPLETED,Proliferative Vitreoretinopathy|Rhegmatogenous Retinal Detachment,DRUG: Nepafenac 0.1% eyedrops|DRUG: Control (placebo) group,Indonesia University,,INTERVENTIONAL,"Department of Ophthalmology, Faculty of Medicine Universitas Indonesia Cipto Mangunkusumo Hospital, Jakarta, Jakarta Pusat, Indonesia"
NCT07162805,Propofol Dose-Finding for Colonoscope Insertion in Geriatric Patients,https://clinicaltrials.gov/study/NCT07162805,NOT_YET_RECRUITING,Effect of Drug,DRUG: Propofol,Kocaeli City Hospital,,INTERVENTIONAL,
NCT07162792,The Safety and Efficacy of New-Generation BRS vs. DCB for De Novo Large Coronary Artery Lesions: A Prospective RCT,https://clinicaltrials.gov/study/NCT07162792,NOT_YET_RECRUITING,Coronary Artery Disease(CAD)|de Novo Coronary Lesions,DEVICE: bioresorbable scaffold|DEVICE: drug-coated balloon,Xuzhou Third People's Hospital,,INTERVENTIONAL,
